	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N
isogroup100009_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup100014_g1	0	0	0	0	0	1	0	0	0	0	0	0	3	1	15	8	
isogroup100015_g1	8	2	0	10	0	16	0	0	0	0	0	4	4	1	11	0	
isogroup100020_g1	0	0	0	0	0	0	0	0	0	6	0	4	0	0	4	0	
isogroup10002_g1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	7	0	
isogroup10003_g1	136	84	0	0	0	7	6	0	2	10	2	3	4	4	15	3	
isogroup100040_g1	0	2	0	1	0	0	0	0	3	3	0	0	0	0	4	3	
isogroup100052_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	
isogroup100184_g1	0	0	6	12	0	3	8	0	2	6	1	5	5	8	25	7	
isogroup100251_g1	0	10	0	0	0	0	0	0	0	0	0	0	2	2	2	1	
isogroup100252_g1	0	0	2	0	0	1	0	0	0	0	0	5	0	1	13	0	
isogroup100257_g1	8	9	4	2	3	29	0	0	5	5	0	0	56	6	72	5	
isogroup10025_g1	14	2	0	0	0	0	1	0	0	12	0	3	0	0	0	0	
isogroup100335_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	1	
isogroup10034_g1	2	4	0	0	0	0	0	0	0	0	0	0	27	10	11	8	
isogroup100397_g1	5	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	
isogroup10040_g1	24	32	12	13	5	16	1	0	4	39	0	13	30	12	138	31	
isogroup100491_g1	7	35	13	1	7	16	12	0	4	22	5	31	14	5	68	26	
isogroup100494_g1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	14	0	
isogroup100577_g1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	
isogroup100584_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup100641_g1	6	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	
isogroup100647_g1	0	0	0	0	0	0	0	0	0	7	0	0	0	1	22	0	
isogroup100692_g1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	
isogroup100699_g1	4	2	0	0	0	0	0	0	0	10	0	0	1	0	20	1	
isogroup100729_g1	5	5	0	0	0	0	0	0	0	0	0	0	8	2	0	4	
isogroup100733_g1	21	13	11	0	0	0	5	0	1	19	2	22	3	1	93	4	
isogroup100757_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	
isogroup100770_g1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
isogroup1007_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	
isogroup100802_g1	0	1	0	0	0	0	0	0	0	0	0	2	3	0	9	0	
isogroup100823_g1	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	
isogroup100863_g1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	1	
isogroup100911_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup100935_g1	3	5	33	0	2	4	0	0	6	12	4	14	42	8	73	13	
isogroup100954_g1	0	0	0	0	0	6	0	0	0	0	0	0	1	0	1	0	
isogroup100973_g1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
isogroup10100_g1	3	13	0	1	0	4	0	0	4	5	0	2	5	5	27	8	
isogroup10102_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup101060_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
isogroup101079_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup10114_g1	2	0	0	0	0	0	0	0	0	0	0	0	3	2	15	7	
isogroup101168_g1	0	5	0	0	0	4	0	0	0	3	0	0	0	0	10	0	
isogroup101194_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup101245_g1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	48	10	
isogroup101249_g1	0	1	0	0	0	0	0	0	0	0	0	6	9	7	5	2	
isogroup10132_g1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup101357_g1	0	0	0	0	0	11	0	0	0	0	0	2	0	0	0	0	
isogroup10140_g1	9	17	1	5	1	8	8	0	9	11	2	7	24	18	142	19	
isogroup10144_g1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2	
isogroup101450_g1	0	0	0	0	0	0	0	0	6	3	1	1	3	0	13	2	
isogroup101465_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup10148_g1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	3	1	
isogroup10155_g1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	
isogroup101604_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup101606_g1	0	1	0	0	0	0	0	0	1	1	0	2	0	0	1	0	
isogroup101610_g1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	
isogroup101647_g1	0	0	2	0	0	0	0	0	0	5	0	1	0	2	0	0	
isogroup10165_g1	73	85	41	38	1	4	2	0	14	32	5	55	261	116	1065	216	
isogroup10170_g1	2	4	3	2	0	2	0	0	2	2	0	2	7	8	31	5	
isogroup10172_g1	0	2	1	0	1	5	0	0	2	4	5	0	7	8	1	0	
isogroup101775_g1	14	1	0	0	0	0	1	0	0	0	1	1	3	3	29	4	
isogroup101786_g1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	0	
isogroup10179_g1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	
isogroup101810_g1	6	13	1	2	0	5	2	0	0	2	0	1	14	5	38	7	
isogroup101823_g1	2	8	4	0	4	5	0	0	4	4	13	17	27	11	40	2	
isogroup101838_g1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	
isogroup101850_g1	1	4	0	0	0	0	0	0	2	0	0	3	0	0	0	0	
isogroup10187_g1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	
isogroup101940_g1	89	136	61	115	6	201	0	0	10	100	4	203	128	151	592	155	
isogroup101966_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup102050_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup10209_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
isogroup10218_g1	65	112	31	23	21	103	9	0	24	62	12	65	179	82	579	114	
isogroup102210_g1	1	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	
isogroup102238_g1	1	0	0	0	0	0	0	0	0	4	0	0	2	3	0	0	
isogroup102245_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup102262_g1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	
isogroup102293_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup10231_g1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	
isogroup102359_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	
isogroup102507_g1	1	2	0	0	0	0	0	0	1	0	0	1	2	1	1	0	
isogroup10251_g1	0	0	0	0	0	0	0	0	0	0	0	0	7	7	4	0	
isogroup102535_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup102615_g1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	4	0	
isogroup102631_g1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup102660_g1	0	0	0	0	0	0	0	0	0	6	0	0	2	1	0	0	
isogroup102717_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
isogroup10277_g1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	16	3	
isogroup102804_g1	13	3	0	0	0	0	0	0	0	0	0	0	8	1	30	0	
isogroup10280_g1	0	2	4	2	0	0	0	0	0	0	0	0	9	6	7	4	
isogroup102848_g1	20	14	0	0	0	0	1	0	0	7	0	14	3	6	52	3	
isogroup10287_g1	32	23	3	0	0	2	0	0	3	10	0	11	42	9	81	7	
