X,binary
isogroup100014_g1,0
isogroup100015_g1,0
isogroup100020_g1,0
isogroup10002_g1,0
isogroup10003_g1,0
isogroup100040_g1,0
isogroup100184_g1,0
isogroup100251_g1,0
isogroup100252_g1,0
isogroup100257_g1,0
isogroup10025_g1,0
isogroup100335_g1,0
isogroup10034_g1,0
isogroup100397_g1,1
isogroup10040_g1,0
isogroup100491_g1,0
isogroup100494_g1,1
isogroup100641_g1,0
isogroup100647_g1,0
isogroup100699_g1,0
isogroup100729_g1,0
isogroup100733_g1,0
isogroup100757_g1,0
isogroup100770_g1,0
isogroup100802_g1,0
isogroup100863_g1,0
isogroup100935_g1,0
isogroup100954_g1,0
isogroup100973_g1,0
isogroup10100_g1,0
isogroup101060_g1,0
isogroup10114_g1,0
isogroup101168_g1,0
isogroup101245_g1,0
isogroup101249_g1,0
isogroup101357_g1,0
isogroup10140_g1,0
isogroup10144_g1,0
isogroup101450_g1,0
isogroup101647_g1,0
isogroup10165_g1,0
isogroup10170_g1,0
isogroup10172_g1,0
isogroup101775_g1,0
isogroup101786_g1,0
isogroup10179_g1,0
isogroup101810_g1,0
isogroup101823_g1,0
isogroup101838_g1,0
isogroup101850_g1,0
isogroup10187_g1,0
isogroup101940_g1,1
isogroup10218_g1,0
isogroup102210_g1,0
isogroup102238_g1,0
isogroup102262_g1,1
isogroup102359_g1,0
isogroup10251_g1,0
isogroup102615_g1,0
isogroup102660_g1,0
isogroup10277_g1,0
isogroup102804_g1,0
isogroup10280_g1,0
isogroup102848_g1,0
isogroup10287_g1,0
isogroup10299_g1,0
isogroup103060_g1,0
isogroup103105_g1,0
isogroup103125_g1,0
isogroup10312_g1,0
isogroup103199_g1,0
isogroup103246_g1,1
isogroup103269_g1,0
isogroup103344_g1,0
isogroup10345_g1,0
isogroup103535_g1,0
isogroup10358_g1,0
isogroup103631_g1,0
isogroup10368_g1,0
isogroup103695_g1,0
isogroup10375_g1,0
isogroup103809_g1,0
isogroup103836_g1,0
isogroup10387_g1,0
isogroup104085_g1,0
isogroup10422_g1,0
isogroup10428_g1,0
isogroup104325_g1,0
isogroup104367_g1,0
isogroup10438_g1,1
isogroup104421_g1,0
isogroup10455_g1,0
isogroup104812_g1,0
isogroup104897_g1,0
isogroup104920_g1,0
isogroup105015_g1,0
isogroup105044_g1,0
isogroup105056_g1,0
isogroup10508_g1,0
isogroup105129_g1,0
isogroup105256_g1,0
isogroup105293_g1,0
isogroup105384_g1,0
isogroup105416_g1,0
isogroup105468_g1,0
isogroup105484_g1,0
isogroup105560_g1,0
isogroup10563_g1,0
isogroup105739_g1,0
isogroup10576_g1,0
isogroup10589_g2,0
isogroup10590_g1,0
isogroup10593_g1,0
isogroup1059_g1,0
isogroup106077_g1,0
isogroup10624_g1,0
isogroup10628_g1,0
isogroup106462_g1,0
isogroup10653_g1,0
isogroup10657_g1,0
isogroup106634_g1,0
isogroup106793_g1,0
isogroup10687_g1,0
isogroup106984_g1,0
isogroup107176_g1,0
isogroup10717_g1,0
isogroup10772_g1,0
isogroup10778_g1,0
isogroup107798_g1,0
isogroup10779_g1,0
isogroup107817_g1,0
isogroup10781_g1,0
isogroup10786_g1,0
isogroup1078_g1,0
isogroup10794_g1,0
isogroup107992_g1,0
isogroup107993_g1,0
isogroup108009_g1,0
isogroup10808_g1,0
isogroup108094_g1,0
isogroup10815_g1,0
isogroup10836_g1,0
isogroup10850_g1,0
isogroup1086_g1,0
isogroup10873_g1,0
isogroup10876_g1,0
isogroup1087_g1,0
isogroup10903_g1,0
isogroup10906_g1,0
isogroup10909_g1,0
isogroup10919_g1,0
isogroup10922_g1,0
isogroup10929_g1,0
isogroup10943_g1,0
isogroup10965_g1,0
isogroup10975_g1,0
isogroup10991_g1,0
isogroup109920_g1,0
isogroup109940_g1,0
isogroup109976_g1,1
isogroup109983_g1,0
isogroup109993_g1,0
isogroup110003_g1,0
isogroup110024_g1,0
isogroup110036_g1,0
isogroup110051_g1,0
isogroup110090_g1,0
isogroup110093_g1,0
isogroup11009_g1,0
isogroup110124_g1,0
isogroup110142_g1,0
isogroup110177_g1,0
isogroup110190_g1,0
isogroup11021_g1,1
isogroup110227_g1,0
isogroup110234_g1,0
isogroup110239_g1,0
isogroup110247_g1,0
isogroup11030_g1,0
isogroup110379_g1,0
isogroup110388_g1,0
isogroup110425_g1,0
isogroup110434_g1,0
isogroup110448_g1,0
isogroup110462_g1,0
isogroup110489_g1,0
isogroup110506_g1,0
isogroup11055_g1,0
isogroup11058_g1,0
isogroup110591_g1,0
isogroup110599_g1,0
isogroup110649_g1,0
isogroup110669_g1,0
isogroup110675_g1,0
isogroup110753_g1,0
isogroup110824_g1,0
isogroup110842_g1,0
isogroup110849_g1,0
isogroup110880_g1,0
isogroup110892_g1,0
isogroup110896_g1,0
isogroup110912_g1,0
isogroup110940_g1,0
isogroup110960_g1,0
isogroup110971_g1,0
isogroup11099_g1,0
isogroup111032_g1,0
isogroup111051_g1,0
isogroup11119_g1,0
isogroup111202_g1,0
isogroup111225_g1,0
isogroup111252_g1,0
isogroup111269_g1,0
isogroup111272_g1,0
isogroup111345_g1,0
isogroup111364_g1,0
isogroup111397_g1,0
isogroup111408_g1,0
isogroup111427_g1,0
isogroup111459_g1,0
isogroup111461_g1,0
isogroup111510_g1,0
isogroup11156_g1,0
isogroup111583_g1,0
isogroup111605_g1,0
isogroup111611_g1,0
isogroup111623_g1,0
isogroup111633_g1,0
isogroup111643_g1,0
isogroup111654_g1,0
isogroup111686_g1,0
isogroup111716_g1,0
isogroup111758_g1,0
isogroup111805_g1,0
isogroup111861_g1,0
isogroup111871_g1,0
isogroup111883_g1,0
isogroup111904_g1,1
isogroup111915_g1,0
isogroup111929_g1,0
isogroup111942_g1,0
isogroup111987_g1,0
isogroup112001_g1,0
isogroup112025_g1,0
isogroup112043_g1,0
isogroup112077_g1,0
isogroup112098_g1,0
isogroup112109_g1,0
isogroup11213_g1,0
isogroup112163_g1,0
isogroup11217_g1,0
isogroup112188_g1,0
isogroup112204_g1,0
isogroup112208_g1,0
isogroup112231_g1,0
isogroup112262_g1,0
isogroup112287_g1,0
isogroup11228_g1,0
isogroup112290_g1,0
isogroup112326_g1,0
isogroup112359_g1,0
isogroup112361_g1,0
isogroup112363_g1,0
isogroup112368_g1,0
isogroup112383_g1,0
isogroup11239_g1,0
isogroup112440_g1,1
isogroup1124_g1,0
isogroup112509_g1,0
isogroup112522_g1,0
isogroup112597_g1,0
isogroup1125_g1,0
isogroup112606_g1,0
isogroup112612_g1,0
isogroup112645_g1,0
isogroup112653_g1,0
isogroup11268_g1,0
isogroup11270_g1,0
isogroup112738_g1,0
isogroup112751_g1,1
isogroup112763_g1,0
isogroup112858_g1,0
isogroup112880_g1,0
isogroup112894_g1,0
isogroup112953_g1,0
isogroup112963_g1,0
isogroup112978_g1,0
isogroup112985_g1,0
isogroup11301_g1,0
isogroup113035_g1,0
isogroup113069_g1,0
isogroup113075_g1,0
isogroup113084_g1,0
isogroup113086_g1,0
isogroup113090_g1,0
isogroup113097_g1,0
isogroup113130_g1,0
isogroup113133_g1,0
isogroup113179_g1,0
isogroup11317_g1,0
isogroup113201_g1,0
isogroup113225_g1,0
isogroup113247_g1,0
isogroup113264_g1,0
isogroup11331_g1,0
isogroup113344_g1,0
isogroup113400_g1,0
isogroup113414_g1,0
isogroup11343_g1,0
isogroup113446_g1,0
isogroup113451_g1,0
isogroup113453_g1,0
isogroup113470_g1,0
isogroup113568_g1,0
isogroup113572_g1,0
isogroup1135_g1,0
isogroup113630_g1,0
isogroup113637_g1,0
isogroup113641_g1,0
isogroup113719_g1,0
isogroup113733_g1,0
isogroup113744_g1,0
isogroup113817_g1,0
isogroup113863_g1,0
isogroup11391_g1,0
isogroup113977_g1,0
isogroup113979_g1,0
isogroup113980_g1,0
isogroup113984_g1,0
isogroup113988_g1,1
isogroup113995_g1,0
isogroup114013_g1,1
isogroup114015_g1,0
isogroup114030_g1,0
isogroup114067_g1,0
isogroup114077_g1,0
isogroup114237_g1,0
isogroup114249_g1,0
isogroup11426_g1,0
isogroup114274_g1,0
isogroup114325_g1,0
isogroup11432_g1,0
isogroup114343_g1,0
isogroup114357_g1,0
