sid,condition,dayO2_mgO2/cm2/min,daycal_CaCO3/cm2/min,nightO2_mgO2/cm2/min,chla_ug/cm2,chlc_ug/cm2,totchl_ug/cm2,zooxdcells/cm2,protein_mg/cm2
g1,healthy,0.13288934,34.99962876,-0.78113521,17.25731223,4.731833564,22.54767416,1355939.086,393.9898477
g1,WPS,-0.417693981,34.93377659,-0.69582919,6.360863191,1.324736275,7.614387399,462757.732,552.6649485
g2,healthy,0.106017235,52.43999888,-1.665859873,12.47616758,4.048513917,17.39334965,3420000,714.4968153
g2,WPS,-0.068107622,19.39737584,-0.841109578,2.03343691,0.800021133,3.021402216,885196.7709,313.7013118
g3,healthy,0.028455179,36.33374174,-1.35340737,26.53122067,7.060549825,34.1139208,2082720.848,653.7625442
g3,WPS,-0.92660066,25.48754579,-0.933198653,1.885459876,0.502400599,2.647486766,119777.7778,578.3555556
g4,healthy,-0.121859386,34.48673738,-0.624037156,31.58318716,8.44332822,40.96265437,1983532.423,983.0580205
g4,WPS,-0.595479249,21.5332434,-0.996223935,1.069852025,0.222427223,1.362066239,48790.76087,269.0461957
g5,healthy,0.37110505,41.55484868,-0.706457256,18.75795298,4.622361186,24.25184709,1816589.862,233.9170507
g5,WPS,-0.969944341,34.95544202,-0.92848813,2.805854107,0.179780017,2.898339337,90122.44898,310.922449
g6,healthy,0.528033436,63.81147233,-1.221035467,31.46230628,8.83951159,41.92990021,2639461.883,661.0762332
g6,WPS,-1.018328101,55.76715023,-1.368543956,4.472098843,0.922455377,5.360384449,327115.3846,112.1538462
g7,healthy,0.475106445,39.95463306,-0.527730877,17.42204915,4.673645636,22.92439862,564280.5755,466.381295
g7,WPS,-0.57917155,30.38504908,-0.936690824,1.536825259,0.127978021,1.636755826,8019.80198,269.4653465
g8,healthy,0.104995346,24.75302171,-0.949710942,17.19811845,4.466668783,22.20596262,563959.0444,882.4300341
g8,WPS,-0.194481659,12.12323885,-0.33030303,5.090185559,1.193258485,6.237542442,126315.7895,528.8421053
