isogroup58201_g2	Pogo transposable element with KRAB domain OS=Homo sapiens GN=POGK PE=1 SV=2 E(blastx)=2e-29
isogroup36303_g1	Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus GN=Eif4g1 PE=1 SV=1 E(blastx)=2e-12
isogroup27032_g2	Trypsin-7 OS=Anopheles gambiae GN=TRYP7 PE=2 SV=2 E(blastx)=2e-57
isogroup62043_g2	General negative regulator of transcription subunit 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=not1 PE=1 SV=1 E(blastx)=1e-129
isogroup52924_g1	Ficolin-2 OS=Homo sapiens GN=FCN2 PE=1 SV=2 E(blastx)=1e-31
isogroup60812_g1	Myosin heavy chain kinase B OS=Dictyostelium discoideum GN=mhkB PE=2 SV=1 E(blastx)=8e-38
isogroup51533_g1	Adenylate kinase isoenzyme 5 OS=Bos taurus GN=Ak5 PE=2 SV=1 E(blastx)=3e-08
isogroup34_g1	UDP-glucuronosyltransferase 2A3 OS=Homo sapiens GN=UGT2A3 PE=2 SV=2 E(blastx)=4e-35
isogroup56599_g1	Pro-Pol polyprotein OS=Feline foamy virus GN=pol PE=3 SV=1 E(blastx)=4e-07
isogroup52696_g2	Zinc finger CCHC domain-containing protein 3 OS=Homo sapiens GN=ZCCHC3 PE=1 SV=1 E(blastx)=2e-13
isogroup61471_g3	Peroxidasin homolog OS=Mus musculus GN=Pxdn PE=1 SV=2 E(blastx)=2e-30
isogroup49610_g1	Thioredoxin domain-containing protein OS=Theileria parva GN=TP02_0602 PE=1 SV=1 E(blastx)=2e-12
isogroup60177_g1	Pro-Pol polyprotein OS=Simian foamy virus (isolate chimpanzee) GN=pol PE=3 SV=1 E(blastx)=1e-06
isogroup61596_g2	Nuclease EXOG, mitochondrial OS=Xenopus laevis GN=exog PE=2 SV=1 E(blastx)=1e-05
isogroup37692_g1	Polyubiquitin-B OS=Bos taurus GN=UBB PE=1 SV=1 E(blastx)=2e-92
isogroup62952_g2	E3 SUMO-protein ligase RanBP2 OS=Mus musculus GN=Ranbp2 PE=1 SV=2 E(blastx)=5e-23
isogroup58901_g1	Protein disulfide-isomerase A5 OS=Bos taurus GN=PDIA5 PE=2 SV=1 E(blastx)=3e-118
isogroup3128_g1	Pre-rRNA-processing protein TSR2 homolog OS=Danio rerio GN=tsr2 PE=2 SV=1 E(blastx)=4e-27
isogroup57195_g1	Bone morphogenetic protein 4 OS=Gallus gallus GN=BMP4 PE=2 SV=1 E(blastx)=4e-92
isogroup133510_g1	5' exonuclease Apollo OS=Gallus gallus GN=DCLRE1B PE=2 SV=1 E(blastx)=2e-29
isogroup61543_g1	Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2 E(blastx)=5e-20
isogroup28740_g1	Lipoxygenase homology domain-containing protein 1 OS=Mus musculus GN=Loxhd1 PE=2 SV=1 E(blastx)=5e-17
isogroup2612_g1	Glutamate receptor ionotropic, kainate 5 OS=Homo sapiens GN=GRIK5 PE=2 SV=2 E(blastx)=1e-11
isogroup53474_g1	Tribbles homolog 2 OS=Homo sapiens GN=TRIB2 PE=2 SV=1 E(blastx)=4e-124
isogroup56863_g1	WD repeat-containing protein 93 OS=Homo sapiens GN=WDR93 PE=2 SV=1 E(blastx)=1e-47
isogroup70155_g1	Glutamate receptor ionotropic, NMDA 1 OS=Rattus norvegicus GN=Grin1 PE=1 SV=1 E(blastx)=2e-31
isogroup49282_g1	Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3 E(blastx)=9e-15
isogroup34740_g2	Growth hormone secretagogue receptor type 1 OS=Sus scrofa GN=GHSR PE=2 SV=1 E(blastx)=4e-14
isogroup14124_g2	Putative tyrosinase-like protein tyr-3 OS=Caenorhabditis elegans GN=tyr-3 PE=3 SV=5 E(blastx)=7e-11
isogroup51235_g1	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE OS=Cronobacter sakazakii (strain ATCC BAA-894) GN=ubiE PE=3 SV=1 E(blastx)=2e-11
isogroup61785_g3	Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At3g53590 OS=Arabidopsis thaliana GN=At3g53590 PE=3 SV=2 E(blastx)=8e-06
isogroup52767_g1	Dual specificity tyrosine-phosphorylation-regulated kinase 2 OS=Drosophila melanogaster GN=Dyrk2 PE=1 SV=1 E(blastx)=1e-170
isogroup141112_g1	Putative histone-lysine N-methyltransferase PRDM6 OS=Mus musculus GN=Prdm6 PE=1 SV=1 E(blastx)=4e-37
isogroup48697_g1	Protein Dok-7 OS=Homo sapiens GN=DOK7 PE=1 SV=1 E(blastx)=1e-21
isogroup29347_g1	Kelch-like protein 10 OS=Homo sapiens GN=KLHL10 PE=1 SV=1 E(blastx)=9e-18
isogroup59631_g2	F-box protein dre-1 OS=Caenorhabditis elegans GN=dre-1 PE=1 SV=3 E(blastx)=4e-169
isogroup58495_g3	Elongator complex protein 5 OS=Danio rerio GN=elp5 PE=2 SV=1 E(blastx)=4e-31
isogroup53658_g1	Polypeptide N-acetylgalactosaminyltransferase 5 OS=Drosophila melanogaster GN=pgant5 PE=2 SV=2 E(blastx)=1e-38
isogroup61599_g3	Tenascin-R OS=Mus musculus GN=Tnr PE=1 SV=2 E(blastx)=2e-62
isogroup59995_g1	Amyloid beta A4 precursor protein-binding family A member 1 OS=Homo sapiens GN=APBA1 PE=1 SV=3 E(blastx)=1e-137
isogroup51748_g1	Histone-lysine N-methyltransferase, H3 lysine-36 specific OS=Yarrowia lipolytica (strain CLIB 122 / E 150) GN=set-2 PE=3 SV=1 E(blastx)=4e-08
isogroup58565_g1	Xylosyltransferase oxt OS=Drosophila melanogaster GN=oxt PE=2 SV=1 E(blastx)=2e-09
isogroup46058_g2	Cyclic nucleotide-binding domain-containing protein 2 OS=Homo sapiens GN=CNBD2 PE=2 SV=2 E(blastx)=2e-35
isogroup44523_g1	Esterase SG1 (Fragment) OS=Schizaphis graminum GN=SG1 PE=1 SV=1 E(blastx)=9e-18
isogroup60160_g2	StAR-related lipid transfer protein 9 OS=Homo sapiens GN=STARD9 PE=1 SV=3 E(blastx)=6e-21
isogroup53715_g1	Mycothiol acetyltransferase OS=Thermomonospora curvata (strain ATCC 19995 / DSM 43183 / JCM 3096 / NCIMB 10081) GN=mshD PE=3 SV=1 E(blastx)=4e-13
isogroup58460_g7	Guanylate-binding protein 7 OS=Homo sapiens GN=GBP7 PE=2 SV=2 E(blastx)=8e-42
isogroup57895_g2	NEDD8 OS=Drosophila melanogaster GN=Nedd8 PE=1 SV=1 E(blastx)=5e-34
isogroup56490_g1	Utrophin OS=Homo sapiens GN=UTRN PE=1 SV=2 E(blastx)=8e-76
isogroup55271_g1	FAS-associated death domain protein OS=Homo sapiens GN=FADD PE=1 SV=1 E(blastx)=5e-05
isogroup48137_g1	Condensin complex subunit 1 OS=Xenopus laevis GN=ncapd2 PE=1 SV=1 E(blastx)=1e-88
isogroup52535_g1	Replication factor C subunit 3 OS=Arabidopsis thaliana GN=RFC3 PE=2 SV=1 E(blastx)=5e-140
isogroup49389_g1	Equistatin OS=Actinia equina PE=1 SV=1 E(blastx)=2e-28
isogroup47446_g1	RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster GN=pol PE=1 SV=1 E(blastx)=3e-30
isogroup61788_g1	Paired amphipathic helix protein pst1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=pst1 PE=1 SV=1 E(blastx)=1e-78
isogroup196280_g1	Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=1 SV=2 E(blastx)=2e-09
isogroup52943_g2	Lysyl oxidase homolog 2 OS=Xenopus tropicalis GN=loxl2 PE=2 SV=2 E(blastx)=1e-66
isogroup56367_g1	Factor VIII intron 22 protein OS=Homo sapiens GN=F8A1 PE=1 SV=2 E(blastx)=4e-53
isogroup60725_g1	Zinc finger CCCH domain-containing protein 7A OS=Homo sapiens GN=ZC3H7A PE=1 SV=1 E(blastx)=4e-07
isogroup43254_g1	NK1 transcription factor-related protein 1 OS=Homo sapiens GN=NKX1-1 PE=2 SV=2 E(blastx)=4e-19
isogroup47351_g1	Forkhead box protein C2-A OS=Xenopus laevis GN=foxc2-a PE=2 SV=1 E(blastx)=2e-57
isogroup48772_g1	Mitochondrial import receptor subunit TOM7 homolog OS=Homo sapiens GN=TOMM7 PE=1 SV=1 E(blastx)=5e-16
isogroup41540_g1	Twist-related protein OS=Xenopus laevis GN=twist1 PE=2 SV=1 E(blastx)=2e-41
isogroup31548_g1	Arylsulfatase E OS=Homo sapiens GN=ARSE PE=1 SV=2 E(blastx)=5e-26
isogroup48790_g1	Discoidin domain-containing receptor 2 OS=Homo sapiens GN=DDR2 PE=1 SV=2 E(blastx)=4e-101
isogroup60024_g2	Nephrocystin-3 OS=Xenopus tropicalis GN=nphp3 PE=2 SV=2 E(blastx)=2e-08
isogroup77292_g1	Adhesion G protein-coupled receptor L4 OS=Homo sapiens GN=ADGRL4 PE=1 SV=3 E(blastx)=6e-20
isogroup62429_g1	Toll-like receptor 13 OS=Mus musculus GN=Tlr13 PE=1 SV=1 E(blastx)=1e-11
isogroup59946_g1	Sortilin OS=Homo sapiens GN=SORT1 PE=1 SV=3 E(blastx)=7e-116
isogroup198908_g1	Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Nicotiana tabacum PE=2 SV=1 E(blastx)=3e-08
isogroup58457_g4	Limbic system-associated membrane protein OS=Homo sapiens GN=LSAMP PE=1 SV=2 E(blastx)=4e-08
isogroup15938_g1	Transient receptor potential cation channel subfamily A member 1 OS=Homo sapiens GN=TRPA1 PE=1 SV=3 E(blastx)=7e-33
isogroup59994_g1	Galactose-3-O-sulfotransferase 2 OS=Sus scrofa GN=GAL3ST2 PE=2 SV=1 E(blastx)=6e-16
isogroup58442_g1	ADP-dependent glucokinase OS=Mus musculus GN=Adpgk PE=1 SV=2 E(blastx)=7e-46
isogroup61495_g5	Glutamine-rich protein 2 OS=Homo sapiens GN=QRICH2 PE=1 SV=1 E(blastx)=3e-27
isogroup62936_g2	Thyroglobulin OS=Mus musculus GN=Tg PE=1 SV=3 E(blastx)=5e-05
isogroup196271_g1	Carbohydrate sulfotransferase 3 OS=Mus musculus GN=Chst3 PE=2 SV=1 E(blastx)=6e-11
isogroup57458_g1	Skeletal aspartic acid-rich protein 1 OS=Acropora millepora PE=1 SV=1 E(blastx)=1e-25
isogroup50291_g1	Sphingosine-1-phosphate phosphatase 2 OS=Homo sapiens GN=SGPP2 PE=2 SV=1 E(blastx)=3e-71
isogroup60249_g2	Fatty-acid amide hydrolase 2-A OS=Danio rerio GN=faah2a PE=2 SV=1 E(blastx)=1e-136
isogroup60375_g1	Probable serine/threonine-protein kinase pats1 OS=Dictyostelium discoideum GN=pats1 PE=3 SV=1 E(blastx)=1e-15
isogroup127584_g1	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Bos taurus GN=NAPEPLD PE=2 SV=1 E(blastx)=9e-29
isogroup54074_g1	Lipid droplet-associated hydrolase OS=Gallus gallus GN=LDAH PE=2 SV=2 E(blastx)=1e-59
isogroup57949_g2	Cleavage and polyadenylation specificity factor subunit 6 OS=Gallus gallus GN=CPSF6 PE=2 SV=1 E(blastx)=5e-36
isogroup58898_g2	Roundabout homolog 2 OS=Mus musculus GN=Robo2 PE=1 SV=2 E(blastx)=4e-13
