isogroup100052_g1	Signal transduction mechanisms
isogroup100134_g1	Amino acid transport and metabolism
isogroup100335_g1	Posttranslational modification, protein turnover, chaperones
isogroup10040_g1	Signal transduction mechanisms
isogroup100479_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup100491_g1	Transcription
isogroup100641_g1	Signal transduction mechanisms
isogroup1007_g1	Signal transduction mechanisms
isogroup100863_g1	Carbohydrate transport and metabolism
isogroup100935_g1	Posttranslational modification, protein turnover, chaperones
isogroup10100_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup10102_g1	Inorganic ion transport and metabolism
isogroup10114_g1	Carbohydrate transport and metabolism
isogroup101247_g1	Cell wall/membrane/envelope biogenesis
isogroup101337_g1	Extracellular structures
isogroup10140_g1	Transcription
isogroup10144_g1	Signal transduction mechanisms
isogroup10155_g1	Signal transduction mechanisms
isogroup101604_g1	Posttranslational modification, protein turnover, chaperones
isogroup10165_g1	Posttranslational modification, protein turnover, chaperones
isogroup10179_g1	RNA processing and modification
isogroup101850_g1	Posttranslational modification, protein turnover, chaperones
isogroup10187_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup101940_g1	Cytoskeleton
isogroup102113_g1	Lipid transport and metabolism
isogroup102210_g1	Signal transduction mechanisms
isogroup102238_g1	Signal transduction mechanisms
isogroup102245_g1	Posttranslational modification, protein turnover, chaperones
isogroup102535_g1	Transcription
isogroup102629_g1	Signal transduction mechanisms
isogroup102631_g1	Signal transduction mechanisms
isogroup102843_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup103176_g1	Replication, recombination and repair
isogroup103182_g1	Posttranslational modification, protein turnover, chaperones
isogroup10345_g1	Posttranslational modification, protein turnover, chaperones
isogroup10358_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup10368_g1	Transcription
isogroup103695_g1	Nucleotide transport and metabolism
isogroup103794_g1	Signal transduction mechanisms
isogroup10393_g2	Signal transduction mechanisms
isogroup10428_g1	Translation, ribosomal structure and biogenesis
isogroup10429_g1	Translation, ribosomal structure and biogenesis
isogroup104325_g1	Energy production and conversion
isogroup10438_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup10439_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup10496_g1	Cell wall/membrane/envelope biogenesis
isogroup105056_g1	Transcription
isogroup105154_g1	Signal transduction mechanisms
isogroup105203_g1	Signal transduction mechanisms
isogroup105392_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup10593_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup10624_g1	RNA processing and modification
isogroup10628_g1	Transcription
isogroup106310_g1	Transcription
isogroup10635_g1	Cytoskeleton
isogroup10653_g1	Transcription
isogroup106634_g1	Posttranslational modification, protein turnover, chaperones
isogroup106812_g1	Signal transduction mechanisms
isogroup10687_g1	Transcription
isogroup10723_g1	Carbohydrate transport and metabolism
isogroup107377_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup10779_g1	Transcription
isogroup10786_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup1078_g1	Transcription
isogroup107919_g1	Inorganic ion transport and metabolism
isogroup10808_g1	Signal transduction mechanisms
isogroup10850_g1	Carbohydrate transport and metabolism
isogroup1087_g1	Posttranslational modification, protein turnover, chaperones
isogroup10919_g1	Transcription
isogroup10961_g1	RNA processing and modification
isogroup10986_g2	Signal transduction mechanisms
isogroup109874_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup109932_g1	Transcription
isogroup109972_g1	Signal transduction mechanisms
isogroup109974_g1	Lipid transport and metabolism
isogroup109976_g1	Defense mechanisms
isogroup110007_g1	Inorganic ion transport and metabolism
isogroup110024_g1	Cell cycle control, cell division, chromosome partitioning
isogroup110036_g1	Inorganic ion transport and metabolism
isogroup110090_g1	Posttranslational modification, protein turnover, chaperones
isogroup11009_g1	Transcription
isogroup110124_g1	Amino acid transport and metabolism
isogroup11012_g2	Inorganic ion transport and metabolism
isogroup110195_g1	Transcription
isogroup11021_g1	Signal transduction mechanisms
isogroup110247_g1	Replication, recombination and repair
isogroup110262_g1	Posttranslational modification, protein turnover, chaperones
isogroup110302_g1	Energy production and conversion
isogroup110322_g1	Signal transduction mechanisms
isogroup110448_g1	Signal transduction mechanisms
isogroup11056_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup110591_g1	Posttranslational modification, protein turnover, chaperones
isogroup110599_g1	Lipid transport and metabolism
isogroup11080_g1	Posttranslational modification, protein turnover, chaperones
isogroup110892_g1	Amino acid transport and metabolism
isogroup111032_g1	Carbohydrate transport and metabolism
isogroup111116_g1	Signal transduction mechanisms
isogroup111134_g1	Posttranslational modification, protein turnover, chaperones
isogroup111150_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup111254_g1	Cell wall/membrane/envelope biogenesis
isogroup111269_g1	Signal transduction mechanisms
isogroup111344_g1	Signal transduction mechanisms
isogroup111345_g1	RNA processing and modification
isogroup111408_g1	Signal transduction mechanisms
isogroup111427_g1	Carbohydrate transport and metabolism
isogroup111459_g1	RNA processing and modification
isogroup111463_g1	Signal transduction mechanisms
isogroup111483_g1	Signal transduction mechanisms
isogroup111510_g1	Extracellular structures
isogroup111611_g1	Signal transduction mechanisms
isogroup111623_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup111694_g1	Nucleotide transport and metabolism
isogroup111716_g1	Signal transduction mechanisms
isogroup111769_g1	Posttranslational modification, protein turnover, chaperones
isogroup111859_g1	Transcription
isogroup111915_g1	Posttranslational modification, protein turnover, chaperones
isogroup111929_g1	Signal transduction mechanisms
isogroup111964_g1	Energy production and conversion
isogroup111987_g1	Signal transduction mechanisms
isogroup112090_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup112109_g1	Carbohydrate transport and metabolism
isogroup112163_g1	Signal transduction mechanisms
isogroup112208_g1	Energy production and conversion
isogroup112229_g1	Posttranslational modification, protein turnover, chaperones
isogroup112281_g1	Replication, recombination and repair
isogroup112284_g1	Replication, recombination and repair
isogroup11231_g1	Transcription
isogroup112347_g1	Cytoskeleton
isogroup112378_g1	Posttranslational modification, protein turnover, chaperones
isogroup11239_g1	Signal transduction mechanisms
isogroup112452_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup1124_g1	Translation, ribosomal structure and biogenesis
isogroup112597_g1	Signal transduction mechanisms
isogroup112641_g1	Amino acid transport and metabolism
isogroup112652_g1	Translation, ribosomal structure and biogenesis
isogroup112705_g1	Signal transduction mechanisms
isogroup11270_g1	Signal transduction mechanisms
isogroup112751_g1	Replication, recombination and repair
isogroup112763_g1	Nucleotide transport and metabolism
isogroup112814_g1	Posttranslational modification, protein turnover, chaperones
isogroup112858_g1	Inorganic ion transport and metabolism
isogroup112894_g1	Signal transduction mechanisms
isogroup112953_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup112963_g1	Signal transduction mechanisms
isogroup112983_g1	Signal transduction mechanisms
isogroup113052_g1	Transcription
isogroup113097_g1	Carbohydrate transport and metabolism
isogroup113225_g1	Carbohydrate transport and metabolism
isogroup113264_g1	Transcription
isogroup113276_g1	Signal transduction mechanisms
isogroup113344_g1	Signal transduction mechanisms
isogroup11343_g1	Signal transduction mechanisms
isogroup113446_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup113453_g1	Chromatin structure and dynamics
isogroup113517_g1	Carbohydrate transport and metabolism
isogroup113568_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup113572_g1	Cell wall/membrane/envelope biogenesis
isogroup113595_g1	Posttranslational modification, protein turnover, chaperones
isogroup1135_g1	Carbohydrate transport and metabolism
isogroup113630_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup113637_g1	Signal transduction mechanisms
isogroup113719_g1	Cytoskeleton
isogroup113733_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup113817_g1	Signal transduction mechanisms
isogroup113863_g1	Signal transduction mechanisms
isogroup113987_g1	Posttranslational modification, protein turnover, chaperones
isogroup1140_g1	Signal transduction mechanisms
isogroup114182_g1	Signal transduction mechanisms
isogroup11419_g1	Lipid transport and metabolism
isogroup114237_g1	Signal transduction mechanisms
isogroup114249_g1	Carbohydrate transport and metabolism
isogroup114272_g1	Posttranslational modification, protein turnover, chaperones
isogroup114274_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup11432_g1	RNA processing and modification
isogroup114332_g1	Signal transduction mechanisms
isogroup114397_g1	Cell wall/membrane/envelope biogenesis
isogroup114404_g1	Cell cycle control, cell division, chromosome partitioning
isogroup11441_g1	Amino acid transport and metabolism
isogroup114449_g1	RNA processing and modification
isogroup11444_g1	Signal transduction mechanisms
isogroup114541_g1	Signal transduction mechanisms
isogroup114621_g1	Signal transduction mechanisms
isogroup114642_g1	Posttranslational modification, protein turnover, chaperones
isogroup11470_g1	Posttranslational modification, protein turnover, chaperones
isogroup114795_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup114841_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup114864_g1	Transcription
isogroup114870_g1	Signal transduction mechanisms
isogroup114875_g1	Inorganic ion transport and metabolism
isogroup114902_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup114918_g1	Replication, recombination and repair
isogroup114935_g1	Signal transduction mechanisms
isogroup11504_g1	Signal transduction mechanisms
isogroup115163_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup11532_g1	Posttranslational modification, protein turnover, chaperones
isogroup115347_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup115349_g1	Signal transduction mechanisms
isogroup115376_g1	Carbohydrate transport and metabolism
isogroup115451_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup115565_g1	RNA processing and modification
isogroup115607_g1	RNA processing and modification
isogroup115678_g1	Nucleotide transport and metabolism
isogroup115695_g1	Signal transduction mechanisms
isogroup115742_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup115826_g1	Defense mechanisms
isogroup11597_g1	Replication, recombination and repair
isogroup116098_g1	Cytoskeleton
isogroup116258_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup116414_g1	Nucleotide transport and metabolism
isogroup116432_g1	Transcription
isogroup116440_g1	Cytoskeleton
isogroup116488_g1	Signal transduction mechanisms
isogroup116548_g1	Carbohydrate transport and metabolism
isogroup11670_g1	Energy production and conversion
isogroup116749_g1	Carbohydrate transport and metabolism
isogroup116782_g1	Transcription
isogroup116853_g1	Signal transduction mechanisms
isogroup116881_g1	RNA processing and modification
isogroup116962_g1	Signal transduction mechanisms
isogroup116984_g1	RNA processing and modification
isogroup117068_g1	Replication, recombination and repair
isogroup1170_g1	Lipid transport and metabolism
isogroup117105_g1	Posttranslational modification, protein turnover, chaperones
isogroup117130_g1	Posttranslational modification, protein turnover, chaperones
isogroup117202_g1	Translation, ribosomal structure and biogenesis
isogroup117265_g1	Lipid transport and metabolism
isogroup117293_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup117295_g1	Translation, ribosomal structure and biogenesis
isogroup117297_g1	Replication, recombination and repair
isogroup117299_g1	Inorganic ion transport and metabolism
isogroup117403_g1	Signal transduction mechanisms
isogroup117477_g1	Signal transduction mechanisms
isogroup117549_g1	Cell wall/membrane/envelope biogenesis
isogroup11782_g1	Signal transduction mechanisms
isogroup117923_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup117945_g1	Chromatin structure and dynamics
isogroup118020_g1	Transcription
isogroup118029_g1	Translation, ribosomal structure and biogenesis
isogroup118123_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup11838_g1	RNA processing and modification
isogroup118433_g1	Translation, ribosomal structure and biogenesis
isogroup118447_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup118550_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup118600_g1	Signal transduction mechanisms
isogroup118624_g1	Posttranslational modification, protein turnover, chaperones
isogroup11868_g1	Chromatin structure and dynamics
isogroup118726_g1	Nucleotide transport and metabolism
isogroup118788_g1	Signal transduction mechanisms
isogroup118823_g1	Signal transduction mechanisms
isogroup118846_g1	Extracellular structures
isogroup118849_g1	Signal transduction mechanisms
isogroup118885_g1	Signal transduction mechanisms
isogroup118916_g1	Cytoskeleton
isogroup118942_g1	Signal transduction mechanisms
isogroup118973_g1	Amino acid transport and metabolism
isogroup118976_g1	Signal transduction mechanisms
isogroup118989_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup119023_g1	Posttranslational modification, protein turnover, chaperones
isogroup119027_g1	Posttranslational modification, protein turnover, chaperones
isogroup11906_g1	Defense mechanisms
isogroup119072_g1	Carbohydrate transport and metabolism
isogroup119080_g1	Signal transduction mechanisms
isogroup119140_g1	Inorganic ion transport and metabolism
isogroup11922_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup119246_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup119329_g1	Inorganic ion transport and metabolism
isogroup119460_g1	Signal transduction mechanisms
isogroup119539_g1	Signal transduction mechanisms
isogroup119560_g1	Signal transduction mechanisms
isogroup119576_g1	Signal transduction mechanisms
isogroup119685_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup119712_g1	Signal transduction mechanisms
isogroup11979_g1	Extracellular structures
isogroup119817_g1	Cell cycle control, cell division, chromosome partitioning
isogroup119820_g1	Replication, recombination and repair
isogroup119896_g1	Transcription
isogroup119932_g1	Posttranslational modification, protein turnover, chaperones
isogroup119974_g1	Inorganic ion transport and metabolism
isogroup120151_g1	RNA processing and modification
isogroup120304_g1	Replication, recombination and repair
isogroup12039_g2	Chromatin structure and dynamics
isogroup12041_g1	Signal transduction mechanisms
isogroup120476_g1	Amino acid transport and metabolism
isogroup12049_g1	Transcription
isogroup12051_g1	Lipid transport and metabolism
isogroup120537_g1	Amino acid transport and metabolism
isogroup120714_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup120793_g1	Lipid transport and metabolism
isogroup120826_g1	Signal transduction mechanisms
isogroup120877_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup120913_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup120995_g1	Replication, recombination and repair
isogroup121182_g1	Signal transduction mechanisms
isogroup12119_g2	Posttranslational modification, protein turnover, chaperones
isogroup121202_g1	Coenzyme transport and metabolism
isogroup121246_g1	Replication, recombination and repair
isogroup121320_g1	Signal transduction mechanisms
isogroup12165_g2	Signal transduction mechanisms
isogroup12170_g1	Carbohydrate transport and metabolism
isogroup121848_g1	Signal transduction mechanisms
isogroup121984_g1	Transcription
isogroup122046_g1	Replication, recombination and repair
isogroup122048_g1	Translation, ribosomal structure and biogenesis
isogroup122056_g1	Signal transduction mechanisms
isogroup122073_g1	Replication, recombination and repair
isogroup12210_g1	Inorganic ion transport and metabolism
isogroup122161_g1	Posttranslational modification, protein turnover, chaperones
isogroup122222_g1	Inorganic ion transport and metabolism
isogroup122508_g1	Posttranslational modification, protein turnover, chaperones
isogroup122510_g1	Inorganic ion transport and metabolism
isogroup122558_g1	Amino acid transport and metabolism
isogroup122580_g1	Signal transduction mechanisms
isogroup122604_g1	Lipid transport and metabolism
isogroup12264_g1	Amino acid transport and metabolism
isogroup12264_g2	Amino acid transport and metabolism
isogroup122676_g1	Posttranslational modification, protein turnover, chaperones
isogroup122787_g1	Energy production and conversion
isogroup12295_g1	Signal transduction mechanisms
isogroup122_g1	Posttranslational modification, protein turnover, chaperones
isogroup123017_g1	Posttranslational modification, protein turnover, chaperones
isogroup123038_g1	Amino acid transport and metabolism
isogroup123081_g1	Signal transduction mechanisms
isogroup123125_g1	Extracellular structures
isogroup123315_g1	Translation, ribosomal structure and biogenesis
isogroup123359_g1	Cell cycle control, cell division, chromosome partitioning
isogroup123364_g1	Signal transduction mechanisms
isogroup123454_g1	Transcription
isogroup123718_g1	Signal transduction mechanisms
isogroup124052_g1	Replication, recombination and repair
isogroup124194_g1	Posttranslational modification, protein turnover, chaperones
isogroup124243_g1	Replication, recombination and repair
isogroup124431_g1	Signal transduction mechanisms
isogroup124523_g1	Signal transduction mechanisms
isogroup124790_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup124831_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup124874_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup124902_g1	Signal transduction mechanisms
isogroup124947_g1	Replication, recombination and repair
isogroup12508_g1	Transcription
isogroup125148_g1	Carbohydrate transport and metabolism
isogroup12525_g1	Signal transduction mechanisms
isogroup1253_g1	Posttranslational modification, protein turnover, chaperones
isogroup12559_g1	Replication, recombination and repair
isogroup125774_g1	Cell wall/membrane/envelope biogenesis
isogroup125950_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup126026_g1	Signal transduction mechanisms
isogroup126401_g1	Posttranslational modification, protein turnover, chaperones
isogroup12641_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup126533_g1	Lipid transport and metabolism
isogroup126948_g1	Signal transduction mechanisms
isogroup12698_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup12717_g1	Amino acid transport and metabolism
isogroup127310_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup12734_g1	Signal transduction mechanisms
isogroup127390_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup127419_g1	Carbohydrate transport and metabolism
isogroup12744_g1	Carbohydrate transport and metabolism
isogroup12744_g2	Carbohydrate transport and metabolism
isogroup12759_g1	Signal transduction mechanisms
isogroup12765_g1	Replication, recombination and repair
isogroup127932_g1	Replication, recombination and repair
isogroup128149_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup12822_g1	Replication, recombination and repair
isogroup128250_g1	Signal transduction mechanisms
isogroup12829_g1	Signal transduction mechanisms
isogroup12830_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup12876_g1	Energy production and conversion
isogroup128897_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup129306_g1	Transcription
isogroup129461_g1	Signal transduction mechanisms
isogroup1294_g1	RNA processing and modification
isogroup129570_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup129707_g1	Amino acid transport and metabolism
isogroup12973_g1	Lipid transport and metabolism
isogroup129864_g1	Transcription
isogroup12989_g1	Amino acid transport and metabolism
isogroup13002_g1	Transcription
isogroup13006_g1	Signal transduction mechanisms
isogroup13028_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup13057_g1	Posttranslational modification, protein turnover, chaperones
isogroup13062_g1	Inorganic ion transport and metabolism
isogroup13099_g1	Posttranslational modification, protein turnover, chaperones
isogroup131027_g1	Lipid transport and metabolism
isogroup131100_g1	Extracellular structures
isogroup13119_g2	Signal transduction mechanisms
isogroup1311_g2	Signal transduction mechanisms
isogroup13130_g1	Amino acid transport and metabolism
isogroup13138_g2	Transcription
isogroup13141_g1	Replication, recombination and repair
isogroup13149_g1	Posttranslational modification, protein turnover, chaperones
isogroup13154_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup131594_g1	Inorganic ion transport and metabolism
