isogroup0	Cytoskeleton
isogroup10002	Secondary metabolites biosynthesis, transport and catabolism
isogroup10004	Posttranslational modification, protein turnover, chaperones
isogroup10007	Lipid transport and metabolism
isogroup10010	Posttranslational modification, protein turnover, chaperones
isogroup10011	Posttranslational modification, protein turnover, chaperones
isogroup10012	Signal transduction mechanisms
isogroup10014	Intracellular trafficking, secretion, and vesicular transport
isogroup10016	Signal transduction mechanisms
isogroup10018	Chromatin structure and dynamics
isogroup10019	Signal transduction mechanisms
isogroup10023	Signal transduction mechanisms
isogroup10025	Transcription
isogroup10026	Intracellular trafficking, secretion, and vesicular transport
isogroup10027	Chromatin structure and dynamics
isogroup1002	Cytoskeleton
isogroup10030	Replication, recombination and repair
isogroup10031	Posttranslational modification, protein turnover, chaperones
isogroup10033	Lipid transport and metabolism
isogroup10034	Posttranslational modification, protein turnover, chaperones
isogroup10035	Translation, ribosomal structure and biogenesis
isogroup10036	Inorganic ion transport and metabolism
isogroup10039	Translation, ribosomal structure and biogenesis
isogroup1003	Posttranslational modification, protein turnover, chaperones
isogroup10041	RNA processing and modification
isogroup10042	Secondary metabolites biosynthesis, transport and catabolism
isogroup10044	Inorganic ion transport and metabolism
isogroup10045	Transcription
isogroup10047	Amino acid transport and metabolism
isogroup10048	Energy production and conversion
isogroup10049	Transcription
isogroup10051	Signal transduction mechanisms
isogroup10052	Lipid transport and metabolism
isogroup10053	Signal transduction mechanisms
isogroup10055	Coenzyme transport and metabolism
isogroup10057	Energy production and conversion
isogroup10058	Secondary metabolites biosynthesis, transport and catabolism
isogroup1005	Transcription
isogroup10061	Cytoskeleton
isogroup10062	RNA processing and modification
isogroup10063	Posttranslational modification, protein turnover, chaperones
isogroup10065	Intracellular trafficking, secretion, and vesicular transport
isogroup10066	Carbohydrate transport and metabolism
isogroup10067.1	Posttranslational modification, protein turnover, chaperones
isogroup10067	Posttranslational modification, protein turnover, chaperones
isogroup10068	Signal transduction mechanisms
isogroup10069	Secondary metabolites biosynthesis, transport and catabolism
isogroup10072	Intracellular trafficking, secretion, and vesicular transport
isogroup10074	Posttranslational modification, protein turnover, chaperones
isogroup10075	Signal transduction mechanisms
isogroup10077	Signal transduction mechanisms
isogroup10078	Extracellular structures
isogroup10079	Signal transduction mechanisms
isogroup10083	Signal transduction mechanisms
isogroup10084.1	Defense mechanisms
isogroup10084	Defense mechanisms
isogroup10086	Intracellular trafficking, secretion, and vesicular transport
isogroup10087	Energy production and conversion
isogroup1008	Signal transduction mechanisms
isogroup10090	Amino acid transport and metabolism
isogroup10092	Translation, ribosomal structure and biogenesis
isogroup10093	Signal transduction mechanisms
isogroup10095	Signal transduction mechanisms
isogroup10098	Cytoskeleton
isogroup10099	Secondary metabolites biosynthesis, transport and catabolism
isogroup100	Cytoskeleton
isogroup10100	Posttranslational modification, protein turnover, chaperones
isogroup10101	Signal transduction mechanisms
isogroup10102	Intracellular trafficking, secretion, and vesicular transport
isogroup10104	Carbohydrate transport and metabolism
isogroup10105	Secondary metabolites biosynthesis, transport and catabolism
isogroup10106	Intracellular trafficking, secretion, and vesicular transport
isogroup10109	Intracellular trafficking, secretion, and vesicular transport
isogroup1010	Signal transduction mechanisms
isogroup10115	Posttranslational modification, protein turnover, chaperones
isogroup10118	Secondary metabolites biosynthesis, transport and catabolism
isogroup10119	Inorganic ion transport and metabolism
isogroup1011	Inorganic ion transport and metabolism
isogroup10120	Cytoskeleton
isogroup10121	Intracellular trafficking, secretion, and vesicular transport
isogroup10122	Translation, ribosomal structure and biogenesis
